node,class,partition
4,0,train
9,0,test
11,0,test
13,0,train
16,0,train
17,0,test
21,0,test
26,0,train
27,0,test
32,0,train
35,0,test
41,0,test
48,0,train
49,0,train
54,0,test
64,0,test
67,0,test
68,0,train
69,0,train
70,0,train
74,0,train
76,0,train
77,0,test
78,0,train
83,0,train
84,0,test
92,0,train
93,0,train
95,0,test
97,0,train
100,0,test
102,0,test
105,0,train
125,0,train
131,0,train
132,0,train
133,0,test
134,0,test
139,0,test
141,0,train
142,0,test
143,0,test
144,0,train
149,0,train
152,0,test
154,0,train
155,0,test
157,0,test
158,0,test
159,0,test
160,0,train
161,0,train
162,0,test
167,0,train
168,0,test
172,0,train
176,0,test
177,0,test
178,0,test
185,0,train
187,0,test
189,0,test
190,0,test
191,0,test
193,0,train
194,0,train
199,0,train
204,0,test
211,0,test
214,0,test
215,0,test
217,0,test
223,0,train
225,0,test
226,0,test
228,0,train
231,0,test
235,0,test
238,0,test
241,0,test
242,0,train
244,0,test
247,0,train
251,0,test
253,0,test
254,0,train
258,0,train
259,0,test
265,0,test
267,0,train
268,0,train
269,0,test
274,0,train
275,0,train
278,0,train
281,0,test
290,0,test
292,0,train
298,0,test
310,0,train
311,0,test
312,0,test
319,0,train
322,0,test
329,0,train
330,0,train
331,0,train
333,0,train
335,0,train
336,0,train
340,0,train
341,0,test
346,0,test
348,0,test
357,0,test
360,0,test
371,0,train
375,0,test
376,0,train
382,0,train
383,0,train
384,0,train
385,0,test
387,0,train
388,0,train
389,0,train
390,0,train
392,0,train
394,0,train
395,0,train
396,0,train
398,0,train
400,0,test
404,0,test
405,0,train
407,0,test
408,0,train
409,0,test
416,0,train
417,0,test
418,0,test
424,0,test
425,0,train
426,0,test
428,0,train
431,0,train
444,0,train
449,0,test
453,0,train
460,0,test
466,0,train
468,0,test
470,0,train
474,0,train
477,0,test
482,0,test
483,0,train
486,0,test
488,0,test
502,0,train
503,0,test
507,0,test
508,0,train
510,0,test
511,0,train
515,0,train
517,0,train
520,0,train
522,0,train
524,0,test
529,0,test
533,0,test
535,0,train
539,0,test
541,0,test
545,0,test
547,0,test
550,0,train
551,0,train
556,0,test
558,0,train
560,0,test
561,0,test
563,0,train
564,0,train
567,0,train
571,0,test
572,0,test
578,0,train
580,0,test
585,0,train
587,0,train
589,0,test
590,0,train
595,0,test
598,0,test
605,0,test
607,0,test
610,0,train
615,0,train
619,0,train
620,1,train
621,1,train
622,1,train
623,1,train
624,1,train
625,1,train
626,1,train
627,1,train
628,1,train
629,1,train
630,1,train
631,1,train
632,1,train
633,1,train
634,1,train
635,1,train
636,1,train
637,1,train
638,1,train
639,1,train
640,1,train
641,1,train
642,1,train
643,1,train
644,1,train
645,1,train
646,1,train
647,1,train
648,1,train
649,1,train
650,1,train
651,1,train
652,1,train
653,1,train
654,1,train
655,1,train
656,1,train
657,1,train
658,1,train
659,1,train
660,1,train
661,1,train
662,1,train
663,1,train
664,1,train
665,1,train
666,1,train
667,1,train
668,1,train
669,1,train
670,1,train
671,1,train
672,1,train
673,1,train
674,1,train
675,1,train
676,1,train
677,1,train
678,1,train
679,1,train
680,1,train
681,1,train
682,1,train
683,1,train
684,1,train
685,1,train
686,1,train
687,1,train
688,1,train
689,1,train
690,1,train
691,1,train
692,1,train
693,1,train
694,1,train
695,1,train
696,1,train
697,1,train
698,1,train
699,1,train
700,1,train
701,1,train
702,1,train
703,1,train
704,1,train
705,1,train
706,1,train
707,1,train
708,1,train
709,1,train
710,1,train
711,1,train
712,1,train
713,1,train
714,1,train
715,1,train
716,1,train
717,1,train
718,1,train
719,1,test
720,1,test
721,1,test
722,1,test
723,1,test
724,1,test
725,1,test
726,1,test
727,1,test
728,1,test
729,1,test
730,1,test
731,1,test
732,1,test
733,1,test
734,1,test
735,1,test
736,1,test
737,1,test
738,1,test
739,1,test
740,1,test
741,1,test
742,1,test
743,1,test
744,1,test
745,1,test
746,1,test
747,1,test
748,1,test
749,1,test
750,1,test
751,1,test
752,1,test
753,1,test
754,1,test
755,1,test
756,1,test
757,1,test
758,1,test
759,1,test
760,1,test
761,1,test
762,1,test
763,1,test
764,1,test
765,1,test
766,1,test
767,1,test
768,1,test
769,1,test
770,1,test
771,1,test
772,1,test
773,1,test
774,1,test
775,1,test
776,1,test
777,1,test
778,1,test
779,1,test
780,1,test
781,1,test
782,1,test
783,1,test
784,1,test
785,1,test
786,1,test
787,1,test
788,1,test
789,1,test
790,1,test
791,1,test
792,1,test
793,1,test
794,1,test
795,1,test
796,1,test
797,1,test
798,1,test
799,1,test
800,1,test
801,1,test
802,1,test
803,1,test
804,1,test
805,1,test
806,1,test
807,1,test
808,1,test
809,1,test
810,1,test
811,1,test
812,1,test
813,1,test
814,1,test
815,1,test
816,1,test
817,1,test
818,1,test
